                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  1.202,                 1.6121,                0.62363,                0.90443,                0.85494,                0.88458,                0.89669,                0.46198,                 0.8081,                0.84255,                0.84268,                0.26897,                  1.536,                 1.6401,                0.63765,                 0.9555,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3121,                 1.8604,                0.74346,                 0.9983,                0.84634,                0.82682,                0.89387,                0.45958,                0.69031,                0.66931,                0.70811,                 0.2041,                 1.5441,                 1.6341,                0.65191,                 0.9639,              0.0002774,              0.0002774,              0.0002774
                     89,                   1.22,                 1.6418,                0.65602,                0.93575,                0.84634,                0.82682,                0.89387,                0.45958,                0.69031,                0.66931,                0.70811,                 0.2041,                 1.5441,                 1.6341,                0.65191,                 0.9639,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2402,                   1.72,                0.63501,                0.90941,                0.93744,                0.74926,                0.87646,                0.44422,                0.79012,                    0.6,                0.71275,                0.21205,                 1.5476,                 1.6397,                0.65363,                0.96549,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3214,                 1.7038,                 0.6468,                0.99397,                0.93633,                0.73592,                0.86995,                0.44957,                 0.9224,                    0.7,                0.85422,                0.25018,                 1.5022,                  1.628,                0.64555,                0.95606,               0.000218,               0.000218,               0.000218
                     92,                  1.161,                 1.7105,                0.63751,                0.95852,                0.93633,                0.73592,                0.86995,                0.44957,                 0.9224,                    0.7,                0.85422,                0.25018,                 1.5022,                  1.628,                0.64555,                0.95606,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2848,                 1.8316,                 0.6748,                0.98845,                0.93597,                0.73167,                0.87912,                0.44859,                      1,                0.78125,                0.89828,                0.27481,                 1.4822,                 1.6258,                0.63347,                 0.9491,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1829,                 1.5994,                0.64559,                0.95347,                0.93684,                0.74211,                0.87042,                0.46972,                0.93594,                0.73127,                0.82818,                0.26616,                 1.4753,                 1.6157,                0.63287,                0.94576,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1354,                  1.604,                0.64144,                0.93331,                0.93684,                0.74211,                0.87042,                0.46972,                0.93594,                0.73127,                0.82818,                0.26616,                 1.4753,                 1.6157,                0.63287,                0.94576,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.2692,                 1.5198,                0.63835,                0.97661,                0.86962,                   0.75,                0.87129,                0.46713,                0.93498,                   0.75,                 0.8299,                0.26803,                 1.4761,                 1.6146,                 0.6349,                0.94379,               0.000119,               0.000119,               0.000119
                     97,                 1.1183,                  1.666,                0.62413,                0.89137,                0.84117,                   0.75,                0.86749,                0.47256,                0.93967,                0.77952,                  0.866,                0.28821,                  1.479,                 1.6069,                0.63713,                0.94185,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0745,                 1.5087,                0.65565,                0.88952,                0.88387,                    0.8,                0.87107,                0.47103,                0.93817,                0.75912,                 0.8662,                0.30067,                 1.4911,                 1.6039,                0.63851,                0.94131,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1785,                 1.5563,                0.64145,                0.94852,                0.88387,                    0.8,                0.87107,                0.47103,                0.93817,                0.75912,                 0.8662,                0.30067,                 1.4911,                 1.6039,                0.63851,                0.94131,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.2092,                 1.5056,                0.61199,                0.94417,                0.88272,                    0.8,                0.87471,                0.47061,                0.93914,                0.77237,                0.86827,                0.30975,                 1.4918,                 1.6024,                0.63988,                0.94017,               3.98e-05,               3.98e-05,               3.98e-05
